        BELFAST	              -	      B-A0	         O
              ,	              -	      I-A0	         O
       Northern	              -	      I-A0	         O
        Ireland	              -	      I-A0	         O
              (	              -	      I-A0	         O
             AP	              -	      I-A0	         O
              )	              -	      I-A0	         O
              _	              -	      I-A0	         O
         Police	              -	      E-A0	         O
         seized	         seized	       S-V	         O
              a	              -	      B-A1	         O
            car	              -	      I-A1	         O
           bomb	              -	      E-A1	         O
          under	              -	  B-AM-LOC	         O
   construction	              -	  E-AM-LOC	         O
         Sunday	              -	  S-AM-TMP	         O
             in	              -	  B-AM-LOC	         O
              a	              -	  I-AM-LOC	         O
           town	              -	  I-AM-LOC	         O
      bordering	      bordering	  I-AM-LOC	       S-V
       Northern	              -	  I-AM-LOC	      B-A2
        Ireland	              -	  E-AM-LOC	      E-A2
             on	              -	  B-AM-PNC	      B-A1
            the	              -	  I-AM-PNC	      I-A1
            eve	              -	  I-AM-PNC	      I-A1
             of	              -	  I-AM-PNC	      I-A1
            the	              -	  I-AM-PNC	      I-A1
         return	              -	  I-AM-PNC	      I-A1
             to	              -	  I-AM-PNC	      I-A1
          peace	              -	  I-AM-PNC	      I-A1
          talks	              -	  I-AM-PNC	      I-A1
             by	              -	  I-AM-PNC	      I-A1
            the	              -	  I-AM-PNC	      I-A1
     IRA-allied	              -	  I-AM-PNC	      I-A1
           Sinn	              -	  I-AM-PNC	      I-A1
           Fein	              -	  I-AM-PNC	      I-A1
          party	              -	  E-AM-PNC	      E-A1
              .	              -	         O	         O

          Chief	              -	      B-A0	         O	         O	         O	         O	         O
 Superintendent	              -	      I-A0	         O	         O	         O	         O	         O
             Al	              -	      I-A0	         O	         O	         O	         O	         O
         McHugh	              -	      E-A0	         O	         O	         O	         O	         O
           said	           said	       S-V	         O	         O	         O	         O	         O
            the	              -	      B-A1	      B-A1	      B-A1	      B-A1	      B-A0	      B-A0
           bomb	              -	      I-A1	      E-A1	      I-A1	      I-A1	      I-A0	      I-A0
     discovered	     discovered	      I-A1	       S-V	      I-A1	      I-A1	      I-A0	      I-A0
             in	              -	      I-A1	  B-AM-LOC	      I-A1	      I-A1	      I-A0	      I-A0
            the	              -	      I-A1	  I-AM-LOC	      I-A1	      I-A1	      I-A0	      I-A0
          Irish	              -	      I-A1	  I-AM-LOC	      I-A1	      I-A1	      I-A0	      I-A0
       Republic	              -	      I-A1	  E-AM-LOC	      E-A1	      E-A1	      E-A0	      E-A0
            was	            was	      I-A1	         O	       S-V	         O	         O	         O
       destined	       destined	      I-A1	         O	  B-AM-ADV	       S-V	         O	         O
            for	              -	      I-A1	         O	  I-AM-ADV	      B-A2	         O	         O
             an	              -	      I-A1	         O	  I-AM-ADV	      I-A2	         O	         O
        unknown	              -	      I-A1	         O	  I-AM-ADV	      I-A2	         O	         O
         target	              -	      I-A1	         O	  I-AM-ADV	      I-A2	         O	         O
             in	              -	      I-A1	         O	  I-AM-ADV	      I-A2	         O	         O
       Northern	              -	      I-A1	         O	  I-AM-ADV	      I-A2	         O	         O
        Ireland	              -	      I-A1	         O	  I-AM-ADV	      E-A2	         O	         O
            and	              -	      I-A1	         O	  I-AM-ADV	         O	         O	         O
             ``	              -	      I-A1	         O	  I-AM-ADV	         O	         O	         O
          would	              -	      I-A1	         O	  I-AM-ADV	         O	  S-AM-MOD	  S-AM-MOD
           have	           have	      I-A1	         O	  I-AM-ADV	         O	       S-V	         O
         caused	         caused	      I-A1	         O	  I-AM-ADV	         O	      B-A1	       S-V
        massive	              -	      I-A1	         O	  I-AM-ADV	         O	      I-A1	      B-A1
    destruction	              -	      E-A1	         O	  E-AM-ADV	         O	      E-A1	      E-A1
              .	              -	         O	         O	         O	         O	         O	         O
             ''	              -	         O	         O	         O	         O	         O	         O

            The	              -	      B-A1	      B-A1	         O	         O	         O	         O
      discovery	              -	      E-A1	      E-A1	         O	         O	         O	         O
       appeared	       appeared	       S-V	         O	         O	         O	         O	         O
             to	              -	    B-C-A1	         O	         O	         O	         O	         O
             be	             be	    I-C-A1	       S-V	         O	         O	         O	         O
            the	              -	    I-C-A1	      B-A2	         O	         O	         O	         O
         latest	              -	    I-C-A1	      I-A2	         O	         O	         O	         O
        attempt	              -	    I-C-A1	      I-A2	         O	         O	         O	         O
             by	              -	    I-C-A1	      I-A2	         O	         O	         O	         O
     extremists	              -	    I-C-A1	      I-A2	      S-A0	         O	         O	         O
        opposed	        opposed	    I-C-A1	      I-A2	       S-V	         O	         O	         O
             to	              -	    I-C-A1	      I-A2	      B-A1	         O	         O	         O
            the	              -	    I-C-A1	      I-A2	      I-A1	         O	         O	         O
