         Market	              -	      B-A1	      B-A0	         O
         makers	              -	      I-A1	      I-A0	         O
             in	              -	      I-A1	      I-A0	         O
         Nasdaq	              -	      I-A1	      I-A0	         O
over-the-counter	              -	      I-A1	      I-A0	         O
         stocks	              -	      E-A1	      E-A0	         O
            are	            are	       S-V	         O	         O
         adding	         adding	  B-AM-ADV	       S-V	         O
          their	              -	  I-AM-ADV	      B-A1	         O
         voices	              -	  I-AM-ADV	      E-A1	         O
             to	              -	  I-AM-ADV	      B-A2	         O
            the	              -	  I-AM-ADV	      I-A2	         O
       swelling	       swelling	  I-AM-ADV	      I-A2	       S-V
         chorus	              -	  I-AM-ADV	      I-A2	      S-A1
             of	              -	  I-AM-ADV	      I-A2	         O
     complaints	              -	  I-AM-ADV	      I-A2	         O
          about	              -	  I-AM-ADV	      I-A2	         O
        program	              -	  I-AM-ADV	      I-A2	         O
        trading	              -	  E-AM-ADV	      E-A2	         O
              .	              -	         O	         O	         O

          Their	              -	      B-A0	         O
     motivation	              -	      E-A0	         O
              ,	              -	         O	         O
        however	              -	  S-AM-DIS	         O
              ,	              -	         O	         O
            has	            has	       S-V	         O
              a	              -	      B-A1	         O
         strong	              -	      I-A1	         O
      practical	              -	      I-A1	         O
         aspect	              -	      E-A1	         O
              :	              -	         O	         O
        Program	              -	         O	      B-A1
        trading	              -	         O	      E-A1
             is	             is	         O	       S-V
      hazardous	              -	         O	      B-A2
             to	              -	         O	      I-A2
          their	              -	         O	      I-A2
      paychecks	              -	         O	      E-A2
              .	              -	         O	         O

            The	              -	      B-A1	      B-A0	         O	         O
           most	              -	      I-A1	      I-A0	         O	         O
  controversial	              -	      I-A1	      I-A0	         O	         O
           form	              -	      I-A1	      I-A0	         O	         O
             of	              -	      I-A1	      I-A0	         O	         O
        program	              -	      I-A1	      I-A0	         O	         O
        trading	              -	      I-A1	      I-A0	         O	         O
              ,	              -	      I-A1	      I-A0	         O	         O
    stock-index	              -	      I-A1	      I-A0	         O	         O
      arbitrage	              -	      I-A1	      I-A0	         O	         O
              ,	              -	      E-A1	      E-A0	         O	         O
             is	             is	       S-V	         O	         O	         O
         making	         making	  B-AM-ADV	       S-V	         O	         O
             it	              -	  I-AM-ADV	         O	         O	         O
          tough	              -	  I-AM-ADV	      B-A2	         O	         O
            for	              -	  I-AM-ADV	      I-A2	         O	         O
        traders	              -	  I-AM-ADV	      I-A2	      S-A0	         O
             to	              -	  I-AM-ADV	      I-A2	         O	         O
           make	           make	  I-AM-ADV	      I-A2	       S-V	         O
          money	              -	  I-AM-ADV	      E-A2	      S-A1	         O
              ,	              -	  I-AM-ADV	         O	         O	         O
       declares	       declares	  I-AM-ADV	         O	         O	       S-V
         Robert	              -	  I-AM-ADV	         O	         O	      B-A0
       Antolini	              -	  I-AM-ADV	         O	         O	      I-A0
              ,	              -	  I-AM-ADV	         O	         O	      I-A0
           head	              -	  I-AM-ADV	         O	         O	      I-A0
             of	              -	  I-AM-ADV	         O	         O	      I-A0
            OTC	              -	  I-AM-ADV	         O	         O	      I-A0
        trading	              -	  I-AM-ADV	         O	         O	      I-A0
             at	              -	  I-AM-ADV	         O	         O	      I-A0
