      Bethlehem	              -	      B-A1	         O	      B-A0
          Steel	              -	      I-A1	         O	      I-A0
          Corp.	              -	      E-A1	         O	      I-A0
              ,	              -	         O	         O	      I-A0
       hammered	       hammered	       S-V	         O	      I-A0
             by	              -	      B-A2	         O	      I-A0
         higher	              -	      I-A2	         O	      I-A0
          costs	              -	      I-A2	         O	      I-A0
            and	              -	      I-A2	         O	      I-A0
          lower	              -	      I-A2	         O	      I-A0
      shipments	              -	      I-A2	         O	      I-A0
             to	              -	      I-A2	         O	      I-A0
            key	            key	      I-A2	       S-V	      I-A0
     automotive	              -	      I-A2	      B-A1	      I-A0
            and	              -	      I-A2	      I-A1	      I-A0
 service-center	              -	      I-A2	      I-A1	      I-A0
      customers	              -	      E-A2	      E-A1	      I-A0
              ,	              -	         O	         O	      E-A0
         posted	         posted	         O	         O	       S-V
              a	              -	         O	         O	      B-A1
             54	              -	         O	         O	      I-A1
              %	              -	         O	         O	      I-A1
           drop	              -	         O	         O	      I-A1
             in	              -	         O	         O	      I-A1
  third-quarter	              -	         O	         O	      I-A1
         profit	              -	         O	         O	      E-A1
              .	              -	         O	         O	         O

     Separately	              -	  S-AM-ADV	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O
            two	              -	      B-A0	      B-A0	         O	         O	         O
           more	              -	      I-A0	      I-A0	         O	         O	         O
             of	              -	      I-A0	      I-A0	         O	         O	         O
            the	              -	      I-A0	      I-A0	         O	         O	         O
         nation	              -	      I-A0	      I-A0	         O	         O	         O
             's	              -	      I-A0	      I-A0	         O	         O	         O
            top	              -	      I-A0	      I-A0	         O	         O	         O
    steelmakers	              -	      I-A0	      I-A0	         O	         O	         O
             --	              -	      I-A0	      I-A0	         O	         O	         O
          Armco	              -	      I-A0	      I-A0	         O	         O	         O
           Inc.	              -	      I-A0	      I-A0	         O	         O	         O
            and	              -	      I-A0	      I-A0	         O	         O	         O
       National	              -	      I-A0	      I-A0	         O	         O	         O
     Intergroup	              -	      I-A0	      I-A0	         O	         O	         O
           Inc.	              -	      I-A0	      I-A0	         O	         O	         O
             --	              -	      E-A0	      E-A0	         O	         O	         O
       reported	       reported	       S-V	         O	         O	         O	         O
          lower	              -	      B-A1	         O	         O	         O	         O
      operating	              -	      I-A1	         O	         O	         O	         O
       earnings	              -	      I-A1	         O	         O	         O	         O
             in	              -	      I-A1	         O	         O	         O	         O
          their	              -	      I-A1	         O	         O	         O	         O
          steel	              -	      I-A1	         O	         O	         O	         O
     businesses	              -	      E-A1	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O
        marking	        marking	  B-AM-ADV	       S-V	         O	         O	         O
           what	              -	  I-AM-ADV	      B-A1	    S-R-A1	    S-R-A1	    S-R-A1
             is	             is	  I-AM-ADV	      I-A1	       S-V	         O	         O
      generally	              -	  I-AM-ADV	      I-A1	  S-AM-ADV	  S-AM-ADV	         O
       believed	       believed	  I-AM-ADV	      I-A1	         O	       S-V	         O
             to	              -	  I-AM-ADV	      I-A1	         O	      B-A1	         O
             be	             be	  I-AM-ADV	      I-A1	         O	      I-A1	       S-V
            the	              -	  I-AM-ADV	      I-A1	         O	      I-A1	      B-A1
            end	              -	  I-AM-ADV	      I-A1	         O	      I-A1	      I-A1
             of	              -	  I-AM-ADV	      I-A1	         O	      I-A1	      I-A1
              a	              -	  I-AM-ADV	      I-A1	         O	      I-A1	      I-A1
       two-year	              -	  I-AM-ADV	      I-A1	         O	      I-A1	      I-A1
           boom	              -	  I-AM-ADV	      I-A1	         O	      I-A1	      I-A1
             in	              -	  I-AM-ADV	      I-A1	         O	      I-A1	      I-A1
            the	              -	  I-AM-ADV	      I-A1	         O	      I-A1	      I-A1
       industry	              -	  E-AM-ADV	      E-A1	         O	      E-A1	      E-A1
              .	              -	         O	         O	         O	         O	         O

           Wall	              -	      B-A0	         O	         O	         O	         O
         Street	              -	      I-A0	         O	         O	         O	         O
       analysts	              -	      E-A0	         O	         O	         O	         O
         expect	         expect	       S-V	         O	         O	         O	         O
            the	              -	      B-A1	      B-A1	         O	         O	         O
  disappointing	              -	      I-A1	      I-A1	         O	         O	         O
          trend	              -	      I-A1	      E-A1	         O	         O	         O
